caries	anciano	pan	queso	ataud	helado	chocolate	barco	sexo	capa	edad
1	0	0	0	0	0	0	1	0	1	1557
1	1	1	0	0	0	1	0	0	1	9525
1	0	1	1	0	0	0	0	1	0	3273
1	0	1	1	1	0	1	0	1	1	5778
1	0	1	1	0	0	0	0	0	0	2050
1	0	1	1	0	1	1	1	1	1	4949
1	0	1	1	1	1	0	1	1	1	5079
1	1	1	1	1	0	1	0	0	0	8703
1	0	1	0	1	1	1	1	1	0	6165
1	1	1	1	0	0	1	0	1	0	8655
1	0	1	0	0	0	0	0	0	1	5246
1	0	1	1	0	0	0	1	0	0	3437
1	1	1	1	1	1	1	0	0	0	9357
1	0	1	0	1	0	0	0	0	1	2498
1	1	0	0	0	0	0	0	0	1	8574
1	1	0	1	1	1	1	0	0	1	7958
1	0	1	1	1	0	0	0	0	0	2987
1	0	1	1	1	0	1	1	0	0	537
1	1	1	1	0	1	0	0	1	1	7448
1	0	0	0	0	0	0	1	1	1	515
1	0	1	1	1	1	1	1	0	0	691
1	1	0	0	0	1	0	0	0	1	9814
1	0	0	0	1	0	0	1	1	1	1389
1	1	1	1	0	1	1	0	1	1	9259
1	0	1	0	1	1	0	1	1	1	6975
1	0	1	0	1	1	1	1	1	1	2540
1	0	1	0	1	1	0	1	0	1	1532
1	0	1	1	1	0	1	0	0	1	3191
1	0	1	1	1	1	0	1	1	1	4987
1	1	1	0	1	1	1	0	1	0	9550
1	0	1	1	1	0	1	1	1	0	4211
1	0	1	1	0	1	1	0	0	1	3644
1	1	0	0	0	0	1	0	1	0	7156
1	0	0	1	0	1	1	0	0	1	3205
1	0	1	0	0	1	0	1	1	0	6038
1	1	0	0	1	0	0	0	1	1	7425
1	0	0	0	1	0	0	1	0	1	917
1	1	1	0	0	1	0	0	0	0	7307
1	0	0	0	1	1	1	1	1	1	2123
1	1	1	0	1	1	1	0	1	1	9289
1	1	1	1	0	1	0	0	1	1	7906
1	1	0	0	0	0	1	0	0	0	9174
1	0	0	0	0	0	1	0	1	0	6448
1	0	0	0	1	1	1	1	1	1	6827
1	1	1	1	1	0	0	0	1	1	9947
1	0	1	1	1	0	1	1	0	1	5421
1	0	1	1	1	0	1	1	0	1	4818
1	1	0	1	0	1	0	0	1	1	7887
1	0	1	1	1	1	1	0	1	1	912
1	1	1	1	0	1	0	0	0	1	7887
1	1	1	1	0	1	1	0	1	1	9958
1	1	1	1	0	1	0	0	0	1	7992
1	0	0	1	1	0	0	1	1	1	1120
1	0	0	0	1	1	1	1	1	0	2795
1	0	1	1	0	1	1	0	0	1	758
1	1	0	0	1	0	1	0	0	1	9708
1	1	0	0	0	1	0	0	0	0	8186
1	1	1	1	1	0	1	0	0	1	7663
1	1	1	1	1	1	1	0	1	0	9383
1	0	0	0	1	1	0	0	1	1	5740
1	1	1	0	1	1	1	0	1	1	7301
1	1	1	1	1	0	1	0	1	1	7970
1	0	1	1	0	1	1	1	1	0	3795
1	0	1	1	0	0	0	1	0	1	5861
1	1	1	1	0	0	0	0	1	1	7854
1	1	1	1	0	1	0	0	0	1	9617
1	0	1	0	0	1	1	1	1	0	39
1	1	0	0	0	0	0	0	1	0	8911
1	0	0	0	1	0	1	1	0	0	6175
1	0	1	1	0	1	1	1	1	1	2954
1	1	1	1	1	1	1	0	0	1	8609
1	0	1	0	1	1	1	1	0	1	2350
1	0	0	0	0	0	0	0	0	0	5027
1	1	0	0	1	0	0	0	0	0	7448
1	1	1	1	1	1	1	0	0	1	8274
1	0	1	0	1	0	0	1	1	1	3783
1	0	1	1	0	0	1	1	0	1	4718
1	0	0	0	1	1	0	1	1	1	5759
1	1	0	0	0	0	1	0	1	1	8050
1	0	1	0	0	1	1	0	0	0	2187
1	0	1	1	0	0	0	0	1	0	2417
1	0	1	1	0	0	0	0	1	1	495
1	0	0	0	1	0	1	1	0	1	3027
1	1	1	0	1	1	0	0	0	0	8816
1	1	0	1	1	0	1	0	1	1	9045
1	1	1	1	0	0	1	0	0	1	7336
1	0	1	1	0	1	0	1	0	0	5409
1	1	1	1	0	0	0	0	0	0	8535
1	0	1	1	0	0	1	1	1	0	5751
1	1	1	0	1	0	0	0	0	0	8014
1	1	1	1	0	0	1	0	0	0	8144
1	1	1	1	0	1	0	0	1	1	8396
1	1	1	1	1	1	1	0	1	0	8324
1	1	0	0	1	1	0	0	1	1	7901
1	1	1	1	0	0	0	0	1	0	8926
1	1	0	0	0	0	1	0	0	1	7351
1	1	0	0	0	1	0	0	0	1	7435
1	1	1	1	1	1	1	0	0	0	9772
1	1	1	1	1	0	0	0	1	1	8909
1	1	1	0	0	1	1	0	0	0	8817
1	0	1	1	0	0	0	1	1	1	3928
1	0	0	0	1	1	0	1	0	1	1301
1	0	0	1	1	1	1	1	1	1	4005
1	1	1	1	1	1	1	0	0	0	8474
1	0	0	0	1	0	0	1	0	1	1587
1	0	1	1	1	0	1	0	1	0	2269
1	0	1	1	1	0	0	1	0	1	301
1	0	1	0	1	1	0	1	1	1	6424
1	0	1	1	1	0	1	0	1	1	5815
1	1	1	1	1	1	0	0	1	0	7978
1	1	1	0	0	0	1	0	0	0	8295
1	1	0	0	0	0	1	0	1	1	9289
1	1	0	0	1	1	1	0	1	1	9497
1	0	1	1	1	0	1	0	1	0	6532
1	1	0	0	1	1	0	0	1	0	8996
1	0	1	0	1	1	1	1	1	0	1449
1	0	1	1	0	1	1	1	0	1	3804
1	1	1	1	0	0	0	0	1	0	9130
1	1	0	0	1	1	0	0	1	1	7665
1	1	0	0	0	0	0	0	0	0	7238
1	0	0	0	0	0	0	1	1	1	2389
1	0	1	1	1	0	1	1	0	0	5904
1	0	1	1	0	0	0	0	0	1	1513
1	1	1	1	0	0	0	0	0	0	7417
1	1	1	1	0	0	1	0	0	1	8401
1	1	1	0	0	0	1	0	0	0	8091
1	1	1	0	0	1	0	0	0	1	7451
1	1	1	1	1	0	0	0	1	0	9616
1	1	1	0	1	0	0	0	1	0	9743
1	0	1	1	1	0	1	1	0	1	5325
1	0	0	1	1	1	0	1	0	1	4380
1	0	1	0	0	1	0	1	1	1	2780
1	1	1	1	1	0	1	0	1	1	7325
1	1	1	1	0	1	1	0	0	0	7996
1	0	1	0	0	0	1	1	1	0	6968
1	0	1	1	1	1	0	1	0	1	2157
1	1	0	0	1	1	1	0	1	0	9021
1	0	1	0	0	1	1	0	1	0	4362
1	1	1	1	1	1	1	0	0	1	9978
1	1	1	1	0	0	1	0	1	1	9873
1	1	1	1	1	0	1	0	1	0	9212
1	1	0	0	0	0	1	0	0	1	8258
1	0	1	1	0	0	0	1	1	0	2219
1	1	1	1	0	1	0	0	1	0	7573
1	0	1	1	1	1	1	1	0	1	764
1	0	1	1	0	1	0	0	0	1	4015
1	1	1	0	1	0	1	0	0	1	9923
1	1	1	1	1	0	0	0	0	0	7258
1	1	1	1	0	1	0	0	1	1	7211
1	1	1	0	1	1	1	0	0	0	7120
1	0	1	0	0	1	0	1	0	0	6055
1	1	1	1	0	1	1	0	0	0	9304
1	1	0	0	1	0	0	0	0	0	8792
1	1	1	0	0	0	0	0	0	0	7531
1	1	1	0	0	1	0	0	1	0	9059
1	1	1	0	1	1	1	0	0	0	7717
1	1	1	1	1	0	1	0	0	0	7371
1	0	1	1	0	0	0	0	0	0	1728
1	1	0	1	0	0	0	0	1	0	8410
1	1	1	1	0	0	0	0	1	1	7742
1	1	1	1	0	0	1	0	0	1	9710
1	1	0	1	0	0	0	0	0	0	9950
1	0	1	1	0	0	1	0	1	0	4096
1	0	1	1	1	1	1	0	0	1	4651
1	0	1	1	0	1	1	0	0	1	3340
1	0	1	1	1	0	0	0	0	0	3707
1	0	1	1	0	1	1	1	0	0	844
1	1	1	0	0	1	0	0	0	1	8800
1	1	0	0	0	0	0	0	1	0	8750
1	1	1	1	0	1	0	0	1	1	8724
1	0	1	1	1	1	1	0	0	0	1198
1	1	1	1	1	0	0	0	1	1	7307
1	0	1	1	1	1	1	1	0	0	805
1	1	1	1	1	0	1	0	0	0	9123
1	0	1	1	1	0	1	1	0	1	288
1	0	0	0	0	1	0	1	1	1	2352
1	1	1	0	0	0	0	0	0	0	8042
1	0	0	0	1	1	1	1	0	1	5163
1	1	0	0	1	1	0	0	0	1	8872
1	1	1	1	0	0	1	0	1	0	9750
1	1	1	0	0	0	1	0	0	0	9162
1	0	1	1	0	1	1	0	0	1	5523
1	1	0	0	0	1	0	0	1	0	7615
1	0	1	1	0	0	0	1	0	0	6694
1	0	1	1	1	1	0	1	1	0	5862
1	0	1	1	1	0	1	1	0	1	4333
1	1	1	1	1	0	0	0	1	1	7863
1	0	1	1	0	0	0	0	1	0	3029
1	0	0	1	0	1	1	1	0	1	645
1	1	1	1	0	1	0	0	1	1	8953
1	1	0	0	1	1	1	0	1	1	9903
1	0	0	0	0	1	1	1	0	0	5647
1	0	0	0	1	0	1	1	1	1	5571
1	1	1	0	1	1	1	0	1	1	8305
1	0	1	1	0	1	0	0	1	1	4330
1	1	1	1	1	0	1	0	0	0	7545
1	1	1	1	1	0	0	0	0	0	9647
1	1	0	0	0	0	1	0	1	1	7549
1	0	0	0	1	1	0	1	0	0	5129
1	1	0	0	0	1	1	0	0	0	7701
1	1	0	0	0	1	1	0	0	1	9162
1	1	0	0	1	1	0	0	1	0	7501
1	1	1	1	1	1	0	0	0	0	7646
1	0	1	1	1	1	0	0	1	0	4304
1	1	1	1	0	0	1	0	0	0	9472
1	0	1	0	0	0	1	1	0	0	2820
1	1	0	0	1	1	0	0	0	0	8048
1	1	1	0	0	0	1	0	0	1	7273
1	0	0	0	0	0	0	1	1	1	6733
1	0	0	1	1	0	1	1	1	1	6591
1	1	1	0	1	1	1	0	1	1	9573
1	1	1	1	1	0	1	0	0	1	9693
1	1	1	1	0	1	0	0	0	1	8189
1	1	1	1	0	0	1	0	1	1	7838
1	0	1	1	0	1	0	0	1	0	2981
1	0	1	1	1	0	1	1	1	0	6159
1	0	1	1	0	1	0	1	1	0	6557
1	1	0	0	0	1	0	1	1	1	7479
1	1	1	1	0	0	1	0	0	1	8866
1	1	1	1	1	1	0	0	0	1	7311
1	1	1	0	1	1	0	1	0	0	9333
1	1	0	0	0	1	1	1	1	0	7083
1	1	0	0	0	1	0	0	0	0	9234
1	1	1	1	0	1	1	0	0	1	9213
1	0	1	0	0	0	0	1	0	1	1402
1	1	0	0	1	0	0	1	0	1	9958
1	0	1	1	1	0	1	1	0	1	6410
1	1	1	0	1	1	1	1	0	1	9672
1	0	1	1	0	0	1	1	0	1	4331
1	1	1	1	1	0	0	0	0	1	8405
1	1	1	0	0	0	1	0	0	0	8030
1	0	1	1	0	1	1	1	0	0	2747
1	1	1	1	0	1	0	0	0	0	8583
1	0	0	1	0	1	0	1	0	0	6449
1	0	0	0	1	0	0	1	1	1	2227
1	1	0	0	0	0	1	1	1	1	9091
1	1	1	1	0	1	1	0	0	1	8567
1	1	1	0	1	1	0	1	0	1	9087
1	0	1	1	1	0	0	1	0	0	6334
1	0	1	1	0	1	0	1	1	0	3634
1	1	1	0	0	0	0	1	0	1	8440
1	1	1	0	0	0	1	1	0	0	9476
1	1	0	0	0	1	1	0	0	1	8623
1	1	1	1	0	0	1	1	1	1	9533
1	1	1	1	0	1	1	0	1	0	9936
1	1	0	0	0	0	1	0	0	1	9302
1	0	1	1	0	1	0	0	1	0	3901
1	0	1	1	1	0	1	1	0	0	2152
1	1	0	0	1	0	1	1	0	1	8881
1	1	1	1	0	1	0	0	1	1	8523
1	1	1	0	1	1	0	0	1	0	7120
1	1	0	0	0	0	0	0	1	1	8225
1	1	0	0	1	1	1	0	0	1	8829
1	1	0	1	0	1	1	0	1	0	9624
1	0	1	0	0	0	1	0	1	1	5298
1	1	1	1	0	0	1	1	0	1	8310
1	1	1	0	1	1	0	1	0	0	8391
1	1	0	0	1	1	1	1	1	0	7364
1	1	1	1	1	0	0	1	1	1	8433
1	0	1	1	1	1	0	0	1	1	2594
1	0	0	0	1	1	1	1	0	1	792
1	1	0	0	0	0	1	0	0	1	9748
1	1	1	1	0	0	0	1	0	1	8432
1	1	1	1	1	0	0	1	0	1	9052
1	0	1	1	1	0	1	0	1	0	168
1	1	1	1	0	0	1	1	0	0	8332
1	1	0	0	0	0	0	1	1	0	9656
1	1	1	1	0	1	0	0	1	0	8083
1	0	1	0	0	1	1	1	0	0	97
1	0	0	0	1	1	1	1	1	0	4052
1	1	1	1	0	0	0	0	1	1	9632
1	0	0	1	1	0	0	0	1	0	2828
1	1	1	1	0	1	0	0	1	0	9870
1	0	0	0	1	0	1	1	0	1	3424
0	0	0	0	0	1	0	1	1	1	5452
0	1	0	0	1	1	1	0	0	0	9714
0	0	1	0	0	0	0	1	0	0	454
0	0	0	0	1	1	0	1	0	1	5810
0	0	1	1	1	0	1	1	1	0	5964
0	0	1	1	1	0	1	1	1	0	3855
0	0	1	0	1	0	0	1	1	1	5075
0	0	0	1	1	1	1	1	1	0	791
0	1	1	1	1	0	0	0	0	0	9292
0	0	1	0	0	1	1	1	0	1	5852
0	0	1	0	0	1	0	1	0	1	6986
0	0	0	0	1	0	0	1	1	1	3420
0	0	1	0	1	0	0	1	1	0	2987
0	0	0	0	1	1	1	1	0	0	6291
0	0	1	0	1	1	1	1	1	1	376
0	0	0	0	1	1	0	1	0	0	1869
0	1	1	1	1	1	0	0	1	1	9544
0	1	1	1	1	1	1	0	0	1	7173
0	1	0	0	0	0	1	0	0	0	7352
0	0	0	0	0	0	1	1	0	0	5917
0	0	0	0	0	1	1	1	1	1	1348
0	1	1	0	1	0	1	0	1	1	8348
0	0	1	1	1	0	0	1	1	1	171
0	0	1	0	1	0	1	1	0	0	1064
0	1	0	0	1	1	0	0	0	1	9544
0	0	1	0	1	0	0	1	0	1	5448
0	0	0	0	0	0	1	1	1	1	2900
0	0	1	0	0	0	1	1	0	1	1590
0	1	1	0	1	1	1	0	0	0	7302
0	0	0	0	0	0	1	1	1	0	3472
0	0	0	0	1	0	0	1	0	1	5089
0	0	1	0	1	1	1	1	1	0	2553
0	0	1	1	0	0	0	1	1	0	6561
0	1	0	0	0	0	1	0	1	1	9839
0	1	0	0	1	1	0	0	0	0	9210
0	0	0	0	1	0	0	1	0	0	4951
0	0	1	1	1	1	0	1	0	0	2353
0	0	0	0	0	1	1	1	1	1	6289
0	0	1	1	0	0	0	1	0	1	1485
0	0	0	0	1	0	0	1	0	1	1407
0	0	1	0	0	1	1	1	0	0	1589
0	1	0	0	0	0	0	0	0	0	8420
0	0	0	0	0	1	1	1	1	0	3887
0	0	1	0	0	0	0	1	0	0	3321
0	1	0	0	1	1	1	0	1	1	8810
0	0	1	1	1	0	1	1	1	0	115
0	0	1	1	1	1	1	1	0	1	6714
0	0	0	1	1	0	0	1	1	1	1669
0	0	1	1	1	0	1	1	0	1	776
0	1	1	0	1	1	0	0	1	1	7653
0	0	1	0	0	1	0	1	1	1	5644
0	0	0	0	1	1	0	1	0	1	5313
0	1	1	0	0	1	0	0	1	1	9354
0	0	1	0	0	0	0	1	0	0	5249
0	0	1	1	1	0	1	1	0	1	6964
0	0	1	0	0	0	0	1	1	0	1436
0	0	1	0	1	0	0	1	0	1	308
0	0	0	1	1	1	0	1	0	0	1001
0	1	0	0	1	1	1	0	1	0	9062
0	0	1	1	1	0	1	1	1	1	3423
0	1	1	0	1	1	1	0	0	0	8111
0	0	0	0	0	0	0	1	0	0	2447
0	0	1	1	1	1	0	1	0	1	469
0	1	1	0	0	1	1	0	1	0	9001
0	0	0	0	1	1	0	1	0	1	6523
0	1	1	0	1	1	1	0	1	0	8663
0	0	1	0	1	0	1	1	0	1	4957
0	1	0	0	0	1	0	0	1	0	7402
0	0	0	0	1	1	0	1	1	0	5522
0	0	1	1	0	1	1	1	0	1	6119
0	1	1	1	1	0	1	0	1	0	8214
0	0	0	0	0	1	0	1	0	1	6627
0	0	1	0	1	1	1	1	1	0	5721
0	1	0	0	1	1	1	0	1	1	9298
0	0	0	0	0	0	1	1	0	0	5835
0	0	1	1	0	0	0	1	0	1	6717
0	0	1	1	1	1	1	1	0	1	3973
0	0	0	0	0	0	1	1	0	1	5677
0	0	1	0	1	1	1	1	1	1	1008
0	0	1	1	0	1	0	1	1	0	4461
0	1	1	0	1	0	1	0	0	1	8401
0	0	1	1	1	0	0	1	1	0	5534
0	0	1	0	0	0	1	1	0	1	4226
0	0	0	0	1	0	1	1	1	1	3709
0	0	0	0	1	1	0	1	1	0	951
0	1	0	1	1	1	1	0	1	1	8340
0	0	0	0	0	1	1	1	1	0	5742
0	0	1	0	0	1	0	1	0	0	3128
0	0	1	1	1	0	1	1	1	0	4748
0	0	0	0	1	1	0	1	0	0	391
0	0	0	0	1	0	1	1	1	1	420
0	0	1	0	1	0	1	1	0	1	847
0	1	1	1	1	1	1	0	0	1	9183
0	0	0	0	0	0	1	1	0	1	360
0	1	1	0	0	1	1	0	0	1	7870
0	1	1	0	0	1	0	0	0	0	9894
0	0	1	0	1	1	1	1	0	1	4575
0	0	0	0	0	0	1	1	1	0	1615
0	1	1	0	1	0	0	0	0	1	7687
0	0	0	0	0	1	1	1	1	1	4825
0	1	0	0	1	0	1	0	0	0	8382
0	1	0	0	1	1	0	0	1	1	9582
0	0	0	0	0	1	0	1	1	1	136
0	0	1	1	1	0	0	1	1	0	6415
0	0	0	1	0	1	1	1	1	1	1786
0	0	0	0	0	0	1	1	0	1	1344
0	0	1	1	0	0	0	1	1	0	1246
0	1	1	0	0	1	0	0	1	1	9103
0	0	0	0	0	0	1	1	0	1	3362
0	0	1	1	1	1	0	1	1	0	1610
0	1	1	0	1	0	0	0	0	0	8785
0	0	1	0	1	0	0	1	1	1	69
0	0	0	0	1	1	0	1	1	1	2517
0	0	0	0	0	1	1	1	1	0	2294
0	0	1	1	0	0	1	1	0	1	4016
0	0	0	0	0	0	1	1	0	0	2099
0	0	0	0	1	0	1	1	0	0	375
0	1	0	0	1	1	1	0	0	1	9218
0	0	1	0	0	1	1	1	0	1	6614
0	1	1	0	1	0	1	0	1	1	8183
0	0	0	0	1	0	0	1	0	1	6561
0	0	1	0	1	1	1	1	1	0	2483
0	0	1	0	0	0	0	1	0	1	5499
0	0	1	0	0	1	0	1	0	1	4742
0	1	1	1	0	1	0	0	0	1	9670
0	0	0	0	0	1	1	1	0	1	2006
0	0	1	0	1	0	0	1	0	1	2884
0	0	0	0	1	0	0	1	1	1	2209
0	1	0	0	1	1	0	0	1	0	8394
0	0	1	0	0	1	1	1	1	0	5027
0	1	1	0	0	0	0	0	0	1	8120
0	1	0	0	0	0	1	0	1	0	7381
0	1	0	0	1	0	1	0	1	1	7414
0	1	0	0	0	1	0	0	0	0	9250
0	0	1	1	1	0	1	1	0	0	6979
0	1	1	0	0	1	0	0	1	1	9386
0	1	1	0	0	1	0	0	1	1	8720
0	0	1	1	1	0	0	1	1	0	3871
0	0	1	0	1	1	0	1	1	1	2565
0	0	0	0	1	0	1	1	1	0	4269
0	1	1	0	1	1	1	0	0	0	7043
0	0	1	1	1	1	1	1	1	1	220
0	1	1	0	1	0	1	0	1	1	7967
0	0	0	0	1	1	0	1	1	1	1639
0	0	1	0	0	1	1	1	1	1	3636
0	0	1	1	1	0	1	1	1	1	1434
0	0	1	1	1	1	0	1	1	1	2016
0	0	1	0	1	0	1	1	0	0	6770
0	0	1	0	1	0	1	1	1	1	6966
0	1	0	0	0	1	0	0	1	1	9419
0	0	1	0	1	1	1	1	0	1	733
0	0	1	0	0	0	0	1	0	0	6043
0	0	1	0	0	0	0	1	1	0	2854
0	1	0	0	1	1	1	0	1	1	7956
0	0	0	0	1	1	0	1	0	0	741
0	0	0	1	1	1	1	1	0	0	6533
0	0	1	0	0	1	1	1	0	1	4000
0	0	0	0	0	0	0	1	1	0	1872
0	0	1	0	0	0	0	1	0	1	3107
0	0	0	0	0	0	1	1	0	0	5001
0	1	0	0	0	1	0	0	1	1	9484
0	0	1	1	0	0	1	1	1	1	2083
0	0	1	1	1	1	0	1	1	1	2552
0	1	1	0	1	0	0	0	1	0	8688
0	1	0	0	1	0	1	0	0	0	8339
0	0	0	0	0	0	1	1	1	0	1210
0	1	0	0	1	0	1	0	0	1	8761
0	0	1	1	0	1	1	1	1	1	2025
0	0	0	0	1	1	0	1	0	0	5273
0	0	0	0	1	1	0	1	0	0	5371
0	0	1	1	1	0	0	1	0	0	599
0	0	1	0	1	0	0	1	1	0	6422
0	1	0	0	1	1	0	0	0	1	9904
0	0	1	0	0	1	1	1	0	0	2468
0	1	0	0	1	1	0	0	1	1	9461
0	1	1	0	1	1	0	0	0	1	7125
0	1	0	0	0	1	1	0	0	1	9955
0	0	1	1	1	0	1	1	1	0	2217
0	0	1	1	1	0	0	1	0	0	5135
0	0	0	0	0	1	0	1	0	1	128
0	1	0	0	0	1	0	0	1	0	9832
0	0	1	0	0	1	1	1	0	0	2630
0	0	0	0	0	0	0	1	0	1	6911
0	1	1	0	0	0	1	0	0	1	8801
0	0	1	0	0	1	0	1	0	1	6034
0	0	0	0	1	0	0	1	0	1	351
0	0	1	1	1	1	1	0	0	1	1380
0	1	0	0	1	1	0	0	0	0	7204
0	1	0	0	0	1	0	0	1	0	8580
0	0	0	0	1	1	1	0	0	0	2236
0	0	0	0	0	1	1	0	0	1	3820
0	0	0	0	1	0	0	0	1	0	76
0	1	0	0	0	0	0	0	0	0	7680
0	0	1	0	1	1	1	0	1	1	2698
0	0	1	1	0	1	0	0	0	1	2732
0	0	0	0	1	0	0	0	1	0	6133
0	1	1	0	1	1	0	0	1	0	7134
0	0	0	0	0	1	0	0	1	1	3869
0	0	0	0	0	1	0	0	0	0	5805
0	0	1	0	0	1	1	1	1	1	693
0	1	1	0	0	1	1	0	0	1	8648
0	0	1	0	1	1	0	0	0	1	3336
0	0	0	0	0	0	0	0	1	1	2454
0	0	1	1	1	1	1	0	1	1	5266
0	0	0	0	0	1	0	0	0	0	4441
0	0	1	0	0	0	1	0	1	1	898
0	1	1	0	0	0	0	0	1	1	9355
0	0	0	0	1	1	1	0	1	0	3515
0	0	1	0	1	0	0	0	1	1	4239
0	0	0	0	0	0	0	0	0	1	1364
0	0	0	0	0	1	1	0	1	0	5934
0	0	1	1	0	1	1	0	1	1	2880
0	1	1	0	1	0	1	0	0	0	8880
0	1	0	0	0	0	1	0	0	0	9359
0	0	1	0	0	0	0	1	0	1	5973
0	0	0	1	1	0	1	0	0	1	193
0	0	1	1	0	1	0	0	1	0	4636
0	0	1	0	1	0	0	0	1	1	4310
0	0	1	1	1	0	1	0	1	1	434
0	0	0	0	0	0	1	0	0	0	794
0	1	0	0	0	0	1	0	0	1	9135
0	0	1	1	1	0	0	0	0	0	6983
0	0	0	0	0	1	0	0	1	1	4507
0	1	1	1	0	0	1	0	0	0	9781
0	1	0	0	1	0	1	0	1	1	7773
0	0	1	0	0	0	0	0	0	0	2646
0	0	1	1	0	0	1	0	0	1	6177
0	0	1	0	1	1	0	0	0	1	342
0	0	1	0	1	1	1	0	1	0	2444
0	0	1	1	0	1	1	0	1	0	1084
0	0	0	0	1	0	0	0	1	0	697
0	0	1	1	0	1	0	0	0	0	4117
0	0	1	1	0	1	0	0	1	1	3319
0	0	1	1	1	0	0	0	0	0	4405
0	0	1	1	0	1	1	0	1	1	4031
0	0	1	0	0	1	0	1	1	1	5132
0	0	1	1	0	1	0	0	0	1	3334
0	0	1	0	0	1	1	0	1	0	1509
0	1	1	0	0	0	1	0	0	0	8964
0	0	1	1	0	0	1	0	0	1	6566
0	1	0	0	0	1	1	0	1	0	9310
0	1	0	0	0	1	1	0	0	0	8149
0	0	0	0	0	1	1	0	1	1	6456
0	1	1	0	0	1	1	0	0	1	9021
0	0	0	0	0	1	0	0	0	1	3303
0	0	1	1	1	1	1	0	0	0	5903
0	0	1	1	1	0	0	0	1	0	6957
0	1	0	0	1	0	1	0	0	0	7696
0	0	1	0	1	0	0	0	0	1	820
0	1	0	0	0	1	0	0	0	1	9790
0	1	0	0	0	1	0	0	0	0	8848
0	0	1	0	1	0	0	0	1	0	1429
0	1	1	0	1	1	1	0	1	1	9238
0	1	0	0	1	1	1	0	0	0	7153
0	0	0	0	0	1	0	0	1	1	3931
0	0	0	0	0	1	1	0	0	0	662
0	0	1	0	0	1	1	1	1	0	130
0	1	0	0	1	0	1	0	0	0	8333
0	0	1	0	0	0	1	1	1	1	2024
0	0	1	1	0	0	0	1	0	0	6286
0	0	1	1	0	1	0	0	1	0	2784
0	0	1	0	1	1	0	0	1	0	6000
0	0	0	0	0	0	1	0	0	1	4918
0	0	0	0	0	0	1	1	0	1	3798
0	0	0	0	0	0	0	0	0	1	1315
0	0	1	0	1	1	1	0	0	1	3706
0	0	1	0	0	1	1	1	0	0	815
0	0	1	1	0	1	0	0	0	1	6207
0	0	1	1	1	0	0	0	1	1	1349
0	1	0	0	1	1	1	0	1	1	8453
0	0	0	1	1	0	0	0	0	1	5220
0	0	0	0	0	1	0	1	0	1	2827
0	0	0	0	1	1	0	0	1	1	1904
0	0	1	0	0	0	1	0	0	1	5969
0	0	1	1	1	1	1	0	1	1	2302
0	1	1	0	1	0	1	0	1	1	7188
0	0	1	0	1	0	0	0	0	0	4234
0	0	1	1	0	1	1	0	1	1	366
0	0	1	0	0	1	1	0	1	1	2231
0	0	1	1	1	0	1	0	0	0	4035
0	1	1	0	1	1	1	0	0	1	9762
